id,date,displayDate,title,url,featured,visible,status
news-001,2022-11-30,30 Nov 2022,250 Pledged to Lead Business Events Legacy Impact and Sustainability,https://bizandleisure.com/2022/11/250-pledged-to-lead-business-events-legacy-impact-and-sustainability/?fbclid=IwAR10o70M9UzA9d2I2geQ0z25eZeAZC1ZnRMIxpIrTI-Utls7B0OpEbGH-BA,false,true,published
news-002,2022-11-01,01 Nov 2022,Sarawak publishes world's first business events academic journal,https://www.theborneopost.com/2022/11/01/sarawak-publishes-worlds-first-business-events-academic-journal/,false,true,published
news-003,2022-10-27,27 Oct 2022,"Du lịch có trách nhiệm, xu hướng nhiều quốc gia trên thế giới đang theo đuổi",https://luatvadoisong.vn/du-lich-co-trach-nhiem-xu-huong-nhieu-quoc-gia-tren-the-gioi-dang-theo-duoi/?fbclid=IwAR3N9Kf3jyu62lE5Om1P0I5MuFT8cjsvwwV0VskP8MKkCjpuaHvD4Sub-H4,false,true,published
news-004,2022-10-27,27 Oct 2022,Smart Tourism in Greater Bay Area Attracts 100+ Participants,https://www.speed-polyu.edu.hk/news/conference-on-smart-tourism-in-the-greater-bay-area-attracts-over-100-participants,false,true,published
news-005,2022-10-27,27 Oct 2022,Sarawak at East Asia Inter-Regional Tourism Forum in Vietnam,https://dayakdaily.com/sarawak-delegation-attends-east-asia-inter-regional-tourism-forum-general-assembly-meeting-in-vietnam/,false,true,published
news-006,2022-10-25,25 Oct 2022,Phát triển bền vững du lịch trong giai đoạn bình thường mới,https://baoquangninh.com.vn/phat-trien-ben-vung-du-lich-trong-giai-doan-binh-thuong-moi-3210121.html,false,true,published
news-007,2022-08-18,18 Aug 2022,砂青年人才竞赛 参赛作品428份,https://weareunited.com.my/11856892/,false,true,published
news-008,2022-07-28,28 Jul 2022,关注旅游新常态：“负责任“ 的砂拉越,https://you.ctrip.com/travels/sarawak537/4070800.html,false,true,published
news-009,2022-07-22,22 Jul 2022,Does Sustainable Consumption Behaviors Matter?,https://malaysiandailynews.com/does-sustainable-consumption-behaviors-matter/,false,true,published
news-010,2022-05-17,17 May 2022,“ 一片疏林一道山，南芳惊鸿照影来 ”,https://you.ctrip.com/travels/sarawak537/4062953.html,false,true,published
news-011,2022-05-09,09 May 2022,中国人在东南亚建立的南芳共和国现在怎么样了,http://news.cntgol.com/dyzd/2022/0509/256148.shtml,false,true,published
news-012,2022-04-11,11 Apr 2022,善德庙承载华工事迹 San Teck Temple carriers the history of Hwa Gong,https://drive.google.com/file/d/13AHh4xk9_h8NXBy93gTpK-EIQYGk1ZbO/view?usp=sharing,false,true,published
news-013,2022-03-26,26 Mar 2022,Pariwisata yang Bertanggung Jawab: Retorika Pembangunan Berkelanjutan,https://pratamamedia.com/pariwisata-yang-bertanggung-jawab-retorika-pembangunan-berkelanjutan/,false,true,published
news-014,2022-03-17,17 Mar 2022,Professor for a Day – Dr. Hiram Ting at Curtin,https://business.curtin.edu.my/research-and-development/professor-for-a-day-with-associate-professor-dr-hiram-ting/,false,true,published
news-015,2022-03-17,17 Mar 2022,"Curtin, BESarawak sign MoA on journal of business events",https://static.wixstatic.com/media/5a1c4e_2fed3ce8487447ca88e197cf4f7ce656~mv2.jpeg,false,true,published
news-016,2022-03-16,16 Mar 2022,MOU Signing Ceremony — IJBEL Journal,https://static.wixstatic.com/media/5a1c4e_3fde7cfebf32456b85d9c439444a778c~mv2.jpeg,false,true,published
news-017,2022-02-16,16 Feb 2022,Abang Abdul Karim appointed BESarawak chairman,https://dayakdaily.com/abdul-karim-new-business-events-sarawak-chairman/,false,true,published
