id,type,year,title,citation,url,featured,visible,status,editoriallyVerified
pub-0001,journal,2026,"From gamification to work performance: a two-wave, two-study examination of psychological needs and meaningful work of employees in China and Singapore","Tan K, Li J, Guo Z, Hii IS, Nguyen DH, Ting H, Rosalin S (2026), ""From gamification to work performance: a two-wave, two-study examination of psychological needs and meaningful work of employees in China and Singapore"". International Journal of Manpower, Vol. 47 No. 10 pp. 213–236, doi: https://doi.org/10.1108/IJM-08-2025-0688",https://www.emerald.com/ijm/article-abstract/47/10/213/1390882,FALSE,TRUE,published,FALSE
pub-0002,journal,2026,Driving Idea Exploration to Implementation: The Role of Transformational Leadership in Fostering Innovative Work Behavior,"Phairat P, Kim?Lim T, Ting H, Soonsan N, Tanticharatwarodom P. Driving Idea Exploration to Implementation: The Role of Transformational Leadership in Fostering Innovative Work Behavior. Global Business and Organizational Excellence. 2026 Jul;45(5):545-59.",https://onlinelibrary.wiley.com/doi/abs/10.1002/joe.70034,FALSE,TRUE,published,FALSE
pub-0003,journal,2026,Does salesperson polychronicity yield value-based selling initiatives in business-to-business markets? A multilevel moderation perspective,"Yuan, Jingbo, et al. ""Does salesperson polychronicity yield value-based selling initiatives in business-to-business markets? A multilevel moderation perspective."" Journal of Business Research 212 (2026): 116233.",https://www.sciencedirect.com/science/article/pii/S0148296326002687,FALSE,TRUE,published,FALSE
pub-0004,journal,2026,Convenience sampling: A review and guidelines for quantitative research,"Quang, T. D., H. Ting, and Q. L. Leong. ""Convenience sampling: A review and guidelines for quantitative research."" Journal of Business Research 212 (2026).",https://www.sciencedirect.com/author/56312440400/hiram-ting,FALSE,TRUE,published,FALSE
pub-0005,journal,2026,Managers' personality traits and AI transformation: the mediating role of AI leadership capability,"Memon MA, Nazir S, Ting H, Mirza MZ, Sarwar N (2026;), ""Managers' personality traits and AI transformation: the mediating role of AI leadership capability"". Personnel Review, Vol. ahead-of-print No. ahead-of-print. https://doi.org/10.1108/PR-09-2025-1015",https://www.emerald.com/pr/article/doi/10.1108/PR-09-2025-1015/1369800,FALSE,TRUE,published,FALSE
pub-0006,journal,2026,Break the Barrier: Why Marketing Managers Resist Blockchain in the Sharing Economy?,"Cham, T. H., Cheah, J. H., Aw, E. C. X., Ting, H., Cheng, B. L., Lim, X. J., & Huang, H. L. (2026). Break the Barrier: Why Marketing Managers Resist Blockchain in the Sharing Economy? Journal of Business-to-Business Marketing, 1–24. https://doi.org/10.1080/1051712X.2026.2665170",https://www.tandfonline.com/doi/abs/10.1080/1051712X.2026.2665170,FALSE,TRUE,published,FALSE
pub-0007,journal,2026,Generation Alpha and the evolution of consumer insights,"Ting H, Mawardi MK, Gong J, Cham T, Memon MA, Kumarusamy R, Le Hong V, Yu J, Cornell DA (2026), ""Editorial: Generation Alpha and the evolution of consumer insights"". Young Consumers: Insight and Ideas for Responsible Marketers, Vol. 27 No. 3 pp. 249–255, doi: https://doi.org/10.1108/YC-04-2026-004",https://www.emerald.com/yc/article/27/3/249/1361301,FALSE,TRUE,published,FALSE
pub-0008,journal,2026,Enhancing business performance through integrated B2B systems in China: a dynamic capabilities perspective,"Yu, C., Cheah, J. H., Ting, H., & Liu, Y. (2026). Enhancing Business Performance Through Integrated B2B Systems in China: A Dynamic Capabilities Perspective. Journal of Business-to-Business Marketing, 33(2), 313–334. https://doi.org/10.1080/1051712X.2025.2537415",https://www.tandfonline.com/doi/abs/10.1080/1051712X.2025.2537415,FALSE,TRUE,published,FALSE
pub-0009,journal,2026,"Tourism diplomacy: responsible pathways for peace, people, and partnership","Ting H, Yusrini L, Tan K, Anh TL, Nhem S (2026), ""Editorial: Tourism diplomacy: responsible pathways for peace, people, and partnership"". Journal of Responsible Tourism Management, Vol. 6 No. 1 pp. 2–10, doi: https://doi.org/10.1108/JRTM-01-2026-009
",https://www.emerald.com/jrtm/article/6/1/2/1343978,FALSE,TRUE,published,FALSE
pub-0010,journal,2026,Does image fit matter to residents’ attitudes and intentions toward sports events and host communities: the mediating role of quality of life,"Hsu, C. Y., Cheah, J. H., Chen, M. Y., & Ting, H. (2026), “Does image fit matter to residents’ attitudes and intentions toward sports events and host communities: the mediating role of quality of life”, Journal of Sport & Tourism, 1-6",,FALSE,TRUE,published,FALSE
